subject_id,subject_name,subject_chinese_x,subject_chinese,father_id,subject_abbre
164,Medical Laboratory Technology,医疗实验室技术,医学实验室技术,-1,Med. Lab. Technol.
165,Medicine,药品,医学,-1,Med.
166,General & Internal Medicine,通用医学,通用与内科医学,165,Gen. Intern. Med.
167,Legal Medicine,法律医学,法医学,165,Med. Legal
168,Research & Experimental Medicine,研究与实验医学,研究与实验医学,165,Res. Exp. Med.
169,Medieval & Renaissance Studies,中世纪和文艺复兴研究,中世纪与文艺复兴研究,-1,Mediev. Renaiss. Stud.
170,Metallurgy & Metallurgical Engineering,冶金和冶金工程,冶金与冶金工程,-1,Metall. Metall. Eng.
171,Meteorology & Atmospheric Sciences,气象与大气科学,气象与大气科学,-1,Meteorol. Atmos. Sci.
172,Microbiology,微生物学,微生物学,-1,Microbiol.
173,Microscopy,显微镜,显微镜,-1,Microsc.
174,Mineralogy,矿物学,矿物学,-1,Mineral.
175,Mining & Mineral Processing,采矿和矿产加工,矿业与矿物加工,-1,Mining Miner. Process.
176,Multidisciplinary Sciences,多学科科学,多学科科学,-1,Multidiscip. Sci.
177,Music,音乐,音乐学,-1,Music
178,Mycology,真菌学,真菌学,-1,Mycology
179,Nanoscience & Nanotechnology,纳米科学和纳米技术,纳米科学与纳米技术,-1,Nanosci. Nanotechnol.
180,Neuroimaging,神经影像学,神经影像学,-1,Neuroimaging
181,Neurosciences,神经科学,神经科学,-1,Neurosci.
182,Nuclear Science & Technology,核科学技术,核科学与技术,-1,Nucl. Sci. Technol.
183,Nursing,护理,护理学,-1,Nurs.
184,Nutrition & Dietetics,营养与饮食学,营养与营养学,-1,Nutr. Diet.
185,Obstetrics & Gynecology,妇产科,妇产科学,-1,Obstet. Gynecol.
186,Oceanography,海洋学,海洋学,-1,Oceanogr.
187,Oncology,肿瘤学,肿瘤学,-1,Oncol.
188,Operations Research & Management Science,运营研究与管理科学,运筹学与管理科学,-1,Oper. Res. Manag. Sci.
189,Ophthalmology,眼科,眼科学,-1,Ophthalmol.
190,Optics,光学,光学,-1,Opt.
191,Ornithology,鸟类学,鸟类学,-1,Ornithol.
192,Orthopedics,骨科,骨科学,-1,Orthop.
193,Otorhinolaryngology,耳鼻喉科,耳鼻喉科学,-1,Otorhinolaryngol.
194,Paleontology,古生物学,古生物学,-1,Paleontol.
195,Parasitology,寄生虫学,寄生虫学,-1,Parasitol.
196,Pathology,病理,病理学,-1,Pathol.
197,Pediatrics,儿科,儿科学,-1,Pediatr.
198,Peripheral Vascular Disease,周边血管疾病,外周血管疾病,-1,Periph. Vasc. Dis.
199,Pharmacology & Pharmacy,药理学与药房,药理学与药剂学,-1,Pharmacol. Pharm.
200,Philosophy,哲学,哲学,-1,Philos.
201,Physics,物理,物理学,-1,Phys.
202,Applied Physics,应用物理,应用物理学,201,Appl. Phys.
203,Atomic Physics,原子物理学,原子物理学,201,At. Phys.
204,Condensed Matter Physics,凝聚态物理学,凝聚态物理学,201,Condens. Matter Phys.
205,Fluids & Plasmas Physics,液体和等离子体物理,流体与等离子体物理学,201,Fluids Plasmas Phys.
206,Mathematical Physics,数学物理学,数学物理学,201,Math. Phys.
207,Multidisciplinary Physics,多学科物理学,多学科物理学,201,Multidiscip. Phys.
208,Nuclear Physics,核物理学,核物理学,201,Nucl. Phys.
209,Particles & Fields Physics,颗粒和田地物理,粒子与场物理学,201,Part. Fields Phys.
210,Physiology,生理,生理学,-1,Physiol.
211,Plant Sciences,植物科学,植物科学,-1,Plant Sci.
212,Poetry,诗歌,诗歌,-1,Poetry
213,Political Science,政治学,政治学,-1,Polit. Sci.
214,Polymer Science,聚合物科学,聚合物科学,-1,Polym. Sci.
215,Primary Health Care,初级卫生保健,初级卫生保健,-1,Prim. Health Care
216,Psychiatry,精神病学,精神病学,-1,Psychiatry
217,Psychology,心理学,心理学,-1,Psychol.
218,Applied Psychology,应用心理学,应用心理学,217,Appl. Psychol.
219,Biological Psychology,生物心理学,生物心理学,217,Biol. Psychol.
220,Clinical Psychology,临床心理学,临床心理学,217,Clin. Psychol.
221,Developmental Psychology,发展心理学,发展心理学,217,Dev. Psychol.
222,Educational Psychology,教育心理学,教育心理学,217,Educ. Psychol.
223,Experimental Psychology,实验心理学,实验心理学,217,Exp. Psychol.
224,Mathematical Psychology,数学心理学,数学心理学,217,Math. Psychol.
225,Multidisciplinary Psychology,多学科心理学,多学科心理学,217,Multidiscip. Psychol.
226,Psychoanalysis Psychology,心理分析心理学,精神分析心理学,217,Psychoanal Psychol..
227,Social Psychology,社会心理学,社会心理学,217,Soc. Psychol.
228,Public Administration,公共管理,公共管理,-1,Public Public Adm.
229,Public,民众,公共学,-1,Public
230,Environmental & Occupational Public Health,环境与职业公众健康,环境与职业公众健康,229,Environ. Occup. Public Health 
231,Quantum Science & Technology,量子科学技术,量子科学与技术,-1,Quantum Sci. Technol.
232,Radiology,放射学,放射学,-1,Radiol.
233,Nuclear Medicine & Medical Imaging Radiology,核医学与医学成像放射学,核医学与医学影像放射学,232, Nucl. Med. Med. Imag. Radiol.
234,Regional & Urban Planning,区域和城市规划,区域与城市规划,-1,Reg. Urban Plan.
235,Rehabilitation,复原,康复,-1,Rehabil.
236,Religion,宗教,宗教,-1,Relig.
237,Remote Sensing,遥感,遥感,-1,Remote Sens.
238,Reproductive Biology,生殖生物学,生殖生物学,-1,Reprod. Biol.
239,Respiratory System,呼吸系统,呼吸系统,-1,Respir. Syst.
240,Rheumatology,风湿病,风湿病学,-1,Rheumatol.
241,Robotics,机器人技术,机器人学,-1,Robot.
242,Social Issues,社会问题,社会问题,-1,Soc. Issues
243,Social Sciences,社会科学,社会科学,-1,Soc. Sci.
244,Biomedical Social Sciences,生物医学社会科学,生物社会科学,243,Biomed. Soc. Sci.
245,Interdisciplinary Social Sciences,跨学科的社会科学,多学科社会科学,243,Interdiscip. Soc. Sci.
246,Mathematical Methods Social Sciences,数学方法社会科学,数学方法社会科学,243,Soc. Sci. Math. Methods
247,Social Work,社会工作,社会工作,-1,Social Work
248,Sociology,社会学,社会学,-1,Sociol.
249,Soil Science,土壤科学,土壤科学,-1,Soil Sci.
250,Spectroscopy,光谱法,光谱学,-1,Spectrosc.
251,Sport Sciences,体育科学,体育科学,-1,Sport Sci.
252,Statistics & Probability,统计和概率,统计与概率,-1,Stat. Probab.
253,Substance Abuse,药物滥用,药物滥用,-1,Subst. Abuse
254,Surgery,外科手术,外科学,-1,Surg.
255,Telecommunications,电信,电信,-1,Telecommun.
256,Theater,剧院,戏剧,-1,Theater
257,Thermodynamics,热力学,热力学,-1,Thermodyn.
258,Toxicology,毒理学,毒理学,-1,Toxicol.
259,Transplantation,移植,移植,-1,Transplant.
260,Transportation,运输,运输,-1,Transport.
261,Transportation Science & Technology,运输科学技术,运输科学与技术,-1,Transport. Sci. Technol.
262,Tropical Medicine,热带医学,热带医学,-1,Trop. Med.
263,Urban Studies,城市研究,城市研究,-1,Urban Stud.
264,Urology & Nephrology,泌尿科和肾脏科,泌尿外科与肾脏病学,-1,Urol. Nephrol.
265,Veterinary Sciences,兽医科学,兽医科学,-1,Vet. Sci.
266,Virology,病毒学,病毒学,-1,Virology
267,Water Resources,水资源,水资源,-1,Water Resour.
268,Women‘s Studies,妇女研究,妇女研究学,-1,Women's Stud.
269,Zoology,动物学,动物学,-1,Zool.
